No,Route No,Service,Route Grade,Daily Operation,Number of Turn,KM,Daily Running to KM,SC 50-60,40-49,30-39,20-29,Total Buses,Check Sum
135,185,Weyangoda - kiridiwela,B,14,35,16,448,2,13,10,,25,25
136,185/2,Weyangoda - rukgahwila,B,7,12,15,210,,3,5,,8,8
137,185/4,Weyangoda - ogodapola,B,2,4,15,60,1,1,1,,3,3
138,185/5,Nittambuwa - wathurugama,C,,,,,,,,,0,0
139,186,Jayawadanagama - borella,A,1,2,10.1,41.2,,2,,,2,2
140,187,Airport - fort,A,32,192,33.7,101.1,,,26,34,60,60
141,187,Airport - fort,A,36,40,32,10344,48,28,,,76,76
142,187,Airport - fort,A,11,60,35,23100,,,3,8,11,11
143,187,Ja-ela - fort,A,13,104,18,1872,9,27,,,36,36
144,187/1,Ekala - fort,A,4,24,21,63,9,4,,,13,13
145,187/2,Niwasipura - fort,A,2,16,27,108,3,1,,,4,4
146,188,Raddoluwa - colombo,A,12,96,26,2496,4,13,,,17,17
